Start,End,Text
1768.746,1771.943,"DONKEY & SHREK - Now watch this! - That's quite enough, boys."
1772.083,1775.883,"PRINCIPAL PYNCHLEY Thank you to Professor Primbotom and his lecture..."
1776.02,1777.419,"PRINCIPAL PYNCHLEY ...on ""just say nay""."
1778.356,1782.622,"PRINCIPAL PYNCHLEY And now, without further ado, let's give a warm Worcestershire hoozah..."
1782.76,1786.252,"PRINCIPAL PYNCHLEY ...to the winner of our mascot contest, the..."
1787.432,1788.421,"PRINCIPAL PYNCHLEY ...ogre?"
1790.501,1792.799,"SHREK That's right. I'm the new mascot."
1792.937,1796.566,"SHREK So let's really try and beat the other guys at..."
1796.708,1799.836,"SHREK ...whatever it is they're doing!"
1803.381,1806.373,"PRINCIPAL PYNCHLEY This is all a bit unorthodox..."
1806.517,1810.18,"SHREK Where can I find Arthur Pendragon?"
1812.457,1813.947,"SHREK Hey, wait..."
1818.062,1819.689,"LANCELOT Classic."
1819.831,1821.526,"DONKEY You should be ashamed of yourself!"
1821.666,1824.066,"LANCELOT I didn't do it. They did."
1828.873,1830.602,"ARTIE Please don't eat me."
1830.742,1833.074,"STUDENTS Eat him! Eat him! Eat him!"
1834.078,1836.74,"SHREK I'm not here to eat him!"
1838.216,1840.844,"SHREK Time to pack up your toothbrush and jammies."
1840.985,1843.215,"SHREK You're the new King of Far Far Away."
1843.354,1845.015,"ARTIE What?"
1846.557,1850.755,"LANCELOT Artie a king? More like the Mayor of Loserville!"
1855.5,1856.489,"LANCELOT Burn."
1860.104,1861.23,"ARTIE Is this for real?"
1861.372,1865.775,"SHREK Absolutely. Clean out your locker, kid. You got a kingdom to run."
1865.91,1868.572,"ARTIE So, wait... l'm really the only heir?"
1869.914,1871.245,"SHREK The one and only."
1872.583,1874.244,"ARTIE Give me... just a second."
1876.587,1878.248,"ARTIE My good people..."
1878.389,1881.119,"ARTIE ...I think there's a lesson here for all of us."
1881.259,1885.559,"ARTIE Maybe the next time you're about to dunk a kid's head in a chamber pot, you'll stop and think,"
1885.697,1888.188,"ARTIE ""Hey, maybe this guy has feelings."
1888.933,1891.299,"ARTIE Maybe I should cut him some slack."
